('topicfilter', 'topic1')
starting loop
topic1 ,PUB,6,0_14:33:11.505558,14:33:11.515501,0:00:03.408653,0:00:03.408653
topic1 ,PUB,6,1_14:33:11.505724,14:33:11.515582,0:00:03.408734,0:00:00.000081
topic1 ,PUB,6,2_14:33:11.505762,14:33:11.515596,0:00:03.408748,0:00:00.000014
topic1 ,PUB,6,3_14:33:11.505787,14:33:11.515605,0:00:03.408757,0:00:00.000009
topic1 ,PUB,6,4_14:33:11.505813,14:33:11.515612,0:00:03.408764,0:00:00.000007
topic1 ,PUB,6,5_14:33:11.505833,14:33:11.515619,0:00:03.408771,0:00:00.000007
topic1 ,PUB,6,6_14:33:11.505851,14:33:11.515626,0:00:03.408778,0:00:00.000007
topic1 ,PUB,6,7_14:33:11.505869,14:33:11.515634,0:00:03.408786,0:00:00.000008
topic1 ,PUB,6,8_14:33:11.505892,14:33:11.515640,0:00:03.408792,0:00:00.000006
topic1 ,PUB,6,9_14:33:11.505913,14:33:11.515647,0:00:03.408799,0:00:00.000007
topic1 ,PUB,6,10_14:33:11.505937,14:33:11.515654,0:00:03.408806,0:00:00.000007
topic1 ,PUB,6,11_14:33:11.505956,14:33:11.515661,0:00:03.408813,0:00:00.000007
topic1 ,PUB,6,12_14:33:11.506024,14:33:11.515668,0:00:03.408820,0:00:00.000007
topic1 ,PUB,6,13_14:33:11.506068,14:33:11.515675,0:00:03.408827,0:00:00.000007
topic1 ,PUB,6,14_14:33:11.506089,14:33:11.515682,0:00:03.408834,0:00:00.000007
topic1 ,PUB,6,15_14:33:11.506127,14:33:11.515689,0:00:03.408841,0:00:00.000007
topic1 ,PUB,6,16_14:33:11.506162,14:33:11.515696,0:00:03.408848,0:00:00.000007
topic1 ,PUB,6,17_14:33:11.506194,14:33:11.515702,0:00:03.408854,0:00:00.000006
topic1 ,PUB,6,18_14:33:11.506212,14:33:11.515709,0:00:03.408861,0:00:00.000007
topic1 ,PUB,6,19_14:33:11.506234,14:33:11.515716,0:00:03.408868,0:00:00.000007
topic1 ,PUB,6,20_14:33:11.506256,14:33:11.515724,0:00:03.408876,0:00:00.000008
topic1 ,PUB,6,21_14:33:11.506280,14:33:11.515734,0:00:03.408886,0:00:00.000010
topic1 ,PUB,6,22_14:33:11.506300,14:33:11.515805,0:00:03.408957,0:00:00.000071
topic1 ,PUB,6,23_14:33:11.506319,14:33:11.515825,0:00:03.408977,0:00:00.000020
topic1 ,PUB,6,24_14:33:11.506336,14:33:11.515845,0:00:03.408997,0:00:00.000020
topic1 ,PUB,6,25_14:33:11.506356,14:33:11.515861,0:00:03.409013,0:00:00.000016
topic1 ,PUB,6,26_14:33:11.506379,14:33:11.515878,0:00:03.409030,0:00:00.000017
topic1 ,PUB,6,27_14:33:11.506400,14:33:11.515900,0:00:03.409052,0:00:00.000022
topic1 ,PUB,6,28_14:33:11.506424,14:33:11.515914,0:00:03.409066,0:00:00.000014
topic1 ,PUB,6,29_14:33:11.506446,14:33:11.515921,0:00:03.409073,0:00:00.000007
topic1 ,PUB,6,30_14:33:11.506519,14:33:11.515929,0:00:03.409081,0:00:00.000008
topic1 ,PUB,6,31_14:33:11.506556,14:33:11.515936,0:00:03.409088,0:00:00.000007
topic1 ,PUB,6,32_14:33:11.506578,14:33:11.515943,0:00:03.409095,0:00:00.000007
topic1 ,PUB,6,33_14:33:11.506604,14:33:11.515949,0:00:03.409101,0:00:00.000006
topic1 ,PUB,6,34_14:33:11.506639,14:33:11.515956,0:00:03.409108,0:00:00.000007
topic1 ,PUB,6,35_14:33:11.506658,14:33:11.515963,0:00:03.409115,0:00:00.000007
topic1 ,PUB,6,36_14:33:11.506691,14:33:11.515970,0:00:03.409122,0:00:00.000007
topic1 ,PUB,6,37_14:33:11.506714,14:33:11.515976,0:00:03.409128,0:00:00.000006
topic1 ,PUB,6,38_14:33:11.506749,14:33:11.515983,0:00:03.409135,0:00:00.000007
topic1 ,PUB,6,39_14:33:11.506772,14:33:11.515990,0:00:03.409142,0:00:00.000007
topic1 ,PUB,6,40_14:33:11.506797,14:33:11.515996,0:00:03.409148,0:00:00.000006
topic1 ,PUB,6,41_14:33:11.506830,14:33:11.516004,0:00:03.409156,0:00:00.000008
topic1 ,PUB,6,42_14:33:11.506847,14:33:11.516011,0:00:03.409163,0:00:00.000007
topic1 ,PUB,6,43_14:33:11.506865,14:33:11.516018,0:00:03.409170,0:00:00.000007
topic1 ,PUB,6,44_14:33:11.506887,14:33:11.516024,0:00:03.409176,0:00:00.000006
topic1 ,PUB,6,45_14:33:11.506909,14:33:11.516031,0:00:03.409183,0:00:00.000007
topic1 ,PUB,6,46_14:33:11.506930,14:33:11.516037,0:00:03.409189,0:00:00.000006
topic1 ,PUB,6,47_14:33:11.507010,14:33:11.516044,0:00:03.409196,0:00:00.000007
