hello now
Not using broker. Connecting to sdiscovery server @ 10.0.0.1
tcp://10.0.0.1:5557
discovery_server_response b'SUBs discovered: {"3": "10.0.0.3", "2": "10.0.0.2"}'
71,14:25:09.693063
72,14:25:09.709444
73,14:25:09.725361
74,14:25:09.736377
75,14:25:09.747531
76,14:25:09.761657
77,14:25:09.780098
78,14:25:09.790834
79,14:25:09.803625
80,14:25:09.815890
81,14:25:09.827939
82,14:25:09.846635
83,14:25:09.858950
84,14:25:09.870243
85,14:25:09.882986
86,14:25:09.900329
87,14:25:09.911071
88,14:25:09.921751
89,14:25:09.932880
90,14:25:09.944948
91,14:25:09.955811
92,14:25:09.967005
93,14:25:09.978745
94,14:25:09.989975
95,14:25:10.000869
96,14:25:10.011506
97,14:25:10.023239
98,14:25:10.041526
99,14:25:10.056926
100,14:25:10.068610
101,14:25:10.083566
102,14:25:10.094910
103,14:25:10.106954
104,14:25:10.119847
105,14:25:10.132564
106,14:25:10.144366
107,14:25:10.162337
108,14:25:10.173532
109,14:25:10.200271
110,14:25:10.211886
111,14:25:10.222965
112,14:25:10.235061
113,14:25:10.247625
114,14:25:10.260978
115,14:25:10.276918
116,14:25:10.288753
117,14:25:10.300207
118,14:25:10.310966
119,14:25:10.328101
120,14:25:10.339339
121,14:25:10.351462
122,14:25:10.362386
123,14:25:10.373474
124,14:25:10.384905
125,14:25:10.397241
126,14:25:10.408367
127,14:25:10.420383
128,14:25:10.432133
129,14:25:10.444631
130,14:25:10.458209
131,14:25:10.469604
132,14:25:10.480500
133,14:25:10.498787
134,14:25:10.510164
135,14:25:10.522221
136,14:25:10.536186
137,14:25:10.547661
138,14:25:10.560346
139,14:25:10.572587
140,14:25:10.585831
141,14:25:10.601690
142,14:25:10.616236
143,14:25:10.630914
144,14:25:10.643762
145,14:25:10.655056
146,14:25:10.668274
147,14:25:10.683048
148,14:25:10.694128
149,14:25:10.705756
150,14:25:10.716788
151,14:25:10.727880
152,14:25:10.744217
153,14:25:10.755835
154,14:25:10.766693
155,14:25:10.778486
156,14:25:10.794236
157,14:25:10.806106
158,14:25:10.818746
159,14:25:10.833097
160,14:25:10.844025
161,14:25:10.857102
162,14:25:10.869054
163,14:25:10.880150
164,14:25:10.892652
165,14:25:10.905984
166,14:25:10.917339
167,14:25:10.928668
168,14:25:10.944071
169,14:25:10.960130
170,14:25:10.974916
171,14:25:10.994725
172,14:25:11.005095
173,14:25:11.016773
174,14:25:11.028717
175,14:25:11.083583
176,14:25:11.094376
177,14:25:11.108353
178,14:25:11.118877
179,14:25:11.129281
180,14:25:11.141079
181,14:25:11.155367
182,14:25:11.166219
183,14:25:11.177083
184,14:25:11.192102
185,14:25:11.205871
186,14:25:11.220275
187,14:25:11.231220
188,14:25:11.241994
189,14:25:11.252335
190,14:25:11.263128
191,14:25:11.273921
192,14:25:11.285718
193,14:25:11.297623
194,14:25:11.308639
195,14:25:11.319806
196,14:25:11.331611
197,14:25:11.348353
198,14:25:11.359670
199,14:25:11.371058
